Date,Open,High,Low,Close,Volume,"NSE:RELIANCE,"
2007-12-18,670.01,696.23,662.89,675.95,15171488
2007-12-19,678.75,696,672.98,678.41,10002660
2007-12-23,691.5,699.99,674.5,697.14,10772940
2007-12-25,700,728.68,699.5,724.13,12680188
2007-12-26,725,731.5,718.78,723.46,15287744
2007-12-27,721.75,732.5,714.06,723.71,7267468
2007-12-30,725.88,732.5,717.5,720.68,5125516
2007-12-31,722.5,724.75,708.78,712.06,4818784
2008-01-01,713.75,721,702.83,715.44,12469804
2008-01-02,713,732.5,707.56,725.93,13808344
2008-01-03,726,754.95,726,748.25,16212576
2008-01-06,743.7,757.5,740,755.06,12531940
2008-01-07,762.63,771,750,763.66,19631304
2008-01-08,761.91,767.5,753.09,758.41,10089196
2008-01-09,758.75,774.38,753.75,756.95,16428412
2008-01-10,769.88,785,756.25,781.9,20125360
2008-01-13,789.75,810,781.5,805.21,11045400
2008-01-14,824.5,824.5,785.33,791.39,15194592
2008-01-15,777.5,786.25,756.25,773.41,22218708
2008-01-16,789.75,789.75,744.04,749.14,19165156
2008-01-17,743.75,743.75,695,699.9,23213216
2008-01-20,694.95,694.95,586.3,635.2,33118300
2008-01-21,588.05,622,530,589.36,35065104
2008-01-22,605,706.25,600,637.67,29317404
2008-01-23,647.5,661.25,608.75,622.23,19529764
2008-01-24,643.75,656.25,631.25,653.85,11985848
2008-01-27,641.25,648.67,607.5,641.6,12101760
2008-01-28,661.25,661.25,635.09,644.23,7954396
2008-01-29,636.29,649.5,613.25,617.98,9991036
2008-01-30,618,642.42,592.75,619.73,22596804
2008-01-31,622.5,640.05,605,635.69,8437732
2008-02-03,634,660.5,634,647.79,11801328
2008-02-04,650,658.5,641.58,654.28,6926732
2008-02-05,639.98,642.5,625.33,638.13,8807048
2008-02-06,630,645,601.78,606.36,12534176
2008-02-07,608.78,617,597.5,606.6,12641356
2008-02-10,603.5,603.5,558.75,569.25,19042368
2008-02-11,570.25,605,564.25,581.21,16294016
2008-02-12,592.5,617.24,587.51,597.38,18991196
2008-02-13,612.5,633.25,612.5,629.19,11517684
2008-02-14,626.23,650,616.5,648.49,8610032
2008-02-17,650,653.75,634.5,638.42,5218520
2008-02-18,647.5,654.5,632.5,638.64,6434676
2008-02-19,625.04,637.5,615.5,621,8830400
2008-02-20,627.5,635.25,615.35,624.08,6429932
2008-02-21,610.58,620,603.75,608.61,7930424
2008-02-24,623.75,641.25,602.51,637.86,7414296
2008-02-25,641.23,646.5,633.03,644.16,5847892
2008-02-26,651.25,659.5,642.51,647.11,10661848
2008-02-27,645,650,629.17,633.3,11287444
2008-02-28,638,638,602.5,615.86,13347640
2008-03-02,599.95,599.95,572.39,576.5,12114936
2008-03-03,580,584.5,552.5,560.79,18218436
2008-03-04,560.03,580,556.78,573.19,11748580
2008-03-06,569.67,569.67,541.55,562.05,13295608
2008-03-09,552.73,572.2,530.59,568.64,20973320
2008-03-10,562.5,588.75,551.1,586.98,14665476
2008-03-11,604.7,607.1,590,593.65,12783976
2008-03-12,572.5,581.25,550.4,560.76,16203512
2008-03-13,562.5,584.98,557.58,580.65,10945932
